dislikes,hashtags,likes,nickname,title,views
0,"technologia,nauka,zainteresowania,kosmos,mars,ciekawostki",186,elektryk91,"NASA ma problem z Ingenuity, marsjańskim wirolotem",2.4 tys.
0,"rosja,historia,polityka,zbrodniekomunistyczne",86,Qtasus2Wielgus,Badacz zbrodni NKWD został wysłany do łagru,<1 tys.
14,"polska,chlewobsranygownem",269,BennyHarvey,Łódzkie. Kradł znicze wrzucając do automatu stare monety. Straty na ponad 3 tys.,12.5 tys.
23,"polska,kultura,rozrywka",359,Wirtualnemedia_pl,Polsat zrealizuje polską wersję „Sługi Narodu”,7.9 tys.
39,"polska,technologia,amazon,afera",476,Mirxar,"Strach coś zamawiać na Amazonie. Polacy płacą tysiące złotych, a dostają...",13.4 tys.
2,"europa,ukraina,rosja,wojna,ruskimir,wydarzenia",500,Szu_,Makabryczne odkrycie w mieście Izium. Znaleziono ciała 44 cywilów,2 tys.
38,"swiat,usa,prawo,neuropa,4konserwy,trump",1275,rzep,"""Twitter to prywatna firma"" - Trump i antyszczepionkowcy przegrali w sądzie",9.1 tys.
5,"swiat,japonia,azja,ropa,rosja,energetyka",302,Biznesalert,"Japonia sygnalizuje, że potrzebuje czasu, by zrezygnować z rosyjskiej ropy",3.6 tys.
33,"europa,rosja,ukraina,ruskimir,putin,polityka",277,krultv,"Przemówienie Władimira Putina \\Dzień Zwycięstwa 2022 \\ [całe, po polsku]",9.4 tys.
9,"zwierzaczki,psy",397,Niechcemisie89,Pieseł zaprzyjaźnia się z leniwcem,4.5 tys.
42,"polska,krakow,drogi,polskiedrogi,motoryzacja",3078,DOgi,"Wykopowicz wytknął błędy, teraz przeprojektują węzeł na obwodnicy",22.4 tys.
9,"europa,ukraina,rosja,wojna,ruskimir,putin",435,etepetete,Kanclerz Niemiec w przededniu rosyjskiego święta: Putin nie wygra tej wojny,3.6 tys.
19,"swiat,europa,rosja,ukraina,wojna",513,maro-grzechotnik,Rosjanie masowo odbierają wezwania mobilizacyjne? Dokument w sieci,13.5 tys.
0,"czeczenia,wojna,rosja,ukraina,kadyrow",332,ksobotka,Skąd wyjdą ciosy w Ramzana Kadyrowa?,6 tys.
8,"swiat,kanada,rosja,ukraina,geopolityka,wydarzenia",440,Kolekcjoner_dusz,Premier Kanady Justin Trudeau na Ukrainie. Odwiedził m.in. Irpień,4.5 tys.
0,"wielkabrytania,sankcje,rosja,arm",622,zuluspl,Wielka Brytania odcina rosyjskich producentów procesorów od architektury ARM,4.1 tys.
